gene	label	hf_class	protein_ids	phenotype_vec	pheno_cluster
CBLN3	0	unlabeled	['Q6UW01']	[-0.383275340087658, -0.6158978212786339, 0.6191833571108484]	0
C5orf22	0	unlabeled	['Q49AR2']	[-0.4173500035174013, -0.3633638719202303, 0.3361383485823257]	0
PDXP	0	unlabeled	['A0A024R1I3', 'Q96GD0']	[-0.217803884072932, -0.1670099596017085, 0.7194709951193249]	0
OSGEP	0	unlabeled	['Q9NPF4']	[-0.4084878747574761, -0.2712327055374158, 0.7640788117127262]	0
TPP2	0	unlabeled	['A0A494C0U1', 'B7Z920', 'P29144', 'Q5VZU9']	[-0.227479207711906, -0.862402918125722, 0.5402120028905149]	0
ADAMTSL4	0	unlabeled	['A0A669KBE7', 'B7ZMJ3', 'Q6UY14']	[-0.5221102392843578, -0.5192303051832761, 0.5784827349265602]	0
DRC4	0	unlabeled	['A0A087WZT7', 'A0A384MR00', 'B7Z1U9', 'O95995']	[-0.3687762656009548, -0.3414639243985829, 0.8068478422450334]	0
BLOC1S5	0	unlabeled	['A0A0A0MTN6', 'Q8TDH9']	[-0.172643316067175, -0.4536723692197087, 0.509244903013194]	0
CDK4	0	unlabeled	['P11802']	[-0.5830342700962936, -0.6174878516012028, 0.924703546732562]	0
SUDS3	0	unlabeled	['Q9H7L9']	[-0.3501781717836764, -0.3961907212652682, 0.1961255226363134]	0
HMGCL	0	unlabeled	['B1AK13', 'P35914']	[-0.4197517476877932, -0.6623961247846293, 0.8811987296966683]	0
KCNMB3	0	unlabeled	['Q9NPA1']	[-0.3645701735547605, -0.1566332129422351, 0.2849034445902839]	0
MAML1	0	unlabeled	['Q92585']	[-0.8109692303744929, -0.6230879779566387, 0.6984297265475625]	0
TMEM243	0	unlabeled	['C9JY04', 'Q9BU79']	[-0.0040882273803622, -1.0160932940800076, 0.8883078795879675]	0
CDH3	0	unlabeled	['B4DLF0', 'P22223']	[-0.5723090207479185, -0.6874287353986721, 0.6977569925117562]	0
MKX	0	unlabeled	['H0YKC7', 'Q8IYA7']	[-0.1404481153909494, -0.4889157715514399, 0.4470215294460504]	0
PRR19	0	unlabeled	['A6NJB7']	[-0.1282222133275748, -0.5752972507428717, 0.768360234555902]	0
PRPH	0	unlabeled	['B3KWQ6', 'P41219']	[-0.2978367971259927, -0.5397771803470207, 0.6581143852750134]	0
ANXA3	0	unlabeled	['D6RA82', 'P12429']	[-0.4347279348370755, -0.6747781988511387, 0.642763488628576]	0
ATP7A	0	unlabeled	['A0A8J9FM07', 'Q04656']	[-0.4860396685707433, -0.5922393951684859, 0.2713238308791035]	0
SEC31A	0	unlabeled	['A0A1S5UZ19', 'D6REX3', 'D6RHZ5', 'H7BXG7', 'O94979']	[-0.5139019172355405, -0.7371440621231553, 0.6946967068338434]	0
NDST3	0	unlabeled	['O95803']	[-0.2256336504707309, -0.703594023340939, 0.2790697313069995]	0
ZNF710	0	unlabeled	['Q8N1W2']	[-0.4086669918656737, -0.48458688240792, 0.7956737227237161]	0
TMSB4X	0	unlabeled	['A2VCK8', 'P62328']	[-0.2236386392403802, -0.4987696342501971, 0.6129322667369967]	0
CLN8	0	unlabeled	['Q9UBY8']	[-0.6557233930530517, -0.2503281101050973, 0.6429704478263598]	0
RAP1B	0	unlabeled	['A6NIZ1', 'B7ZAY2', 'P61224']	[-0.2219659918905224, -1.033610581206572, 0.7528860966275059]	0
VPS50	0	unlabeled	['A7MD03', 'B4DS55', 'Q96JG6']	[-0.348047764820202, -0.6630560791752514, 0.6362573374437452]	0
CNOT4	0	unlabeled	['A0A9L9PY48', 'O95628']	[-0.3753781887485022, -0.6234413308897204, 0.7669404722651827]	0
C1QL1	0	unlabeled	['A0ABB0MVI4', 'O75973']	[-0.3268954498145144, -0.2748478052890331, 0.6411927030459671]	0
GLTP	0	unlabeled	['Q9NZD2']	[-0.1498262992895185, -0.2171794284844904, 0.703064678500199]	0
EPPIN	0	unlabeled	['A0A384NYB9', 'B2R4Q0', 'O95925']	[-0.1425066403042137, -0.3856567157628958, 0.6542841856337869]	0
ZNF775	0	unlabeled	['Q96BV0']	[-0.5875961727593937, -0.361552239906725, 0.2518087143476882]	0
FAM229B	0	unlabeled	['Q4G0N7']	[-0.4930131706927432, -0.6158937020219658, 0.7914495264047828]	0
BRMS1L	0	unlabeled	['B4DLQ5', 'Q5PSV4']	[-0.0344653504078253, -0.4806575562791043, 0.6396789303025594]	0
TOE1	0	unlabeled	['B4DP23', 'Q96GM8']	[-0.447993009620532, -0.5099137014266104, 0.5954305491214578]	0
GBA3	0	unlabeled	['A8K9N1', 'B7Z536', 'Q9H227']	[-0.2852462687429159, -0.4517154150792294, 0.347463237436886]	0
COX6B1	0	unlabeled	['P14854']	[-1.0778267844780205, -0.5139890962529943, 0.6409481002270415]	0
SLC60A1	0	unlabeled	['F5H391', 'Q8N468']	[-0.7274360047992301, -0.341900899536017, 0.1911719870993242]	0
SHLD1	0	unlabeled	['Q5TGA6', 'Q8IYI0']	[-0.2635112041258654, -0.5071296933817913, 0.4712943358283039]	0
TRIM61	0	unlabeled	['A0A494C0U7', 'B4DJJ1', 'Q5EBN2']	[-0.5257616978681372, -0.0706330861410413, 0.32951494058978]	0
C6orf15	0	unlabeled	['A0A1U9X7E3', 'M1T2K5', 'Q6UXA7']	[-0.2698902761712514, -0.5909664549891909, 0.5623230307853149]	0
RIC3	0	unlabeled	['A0A0S2Z5U4', 'A0A0S2Z607', 'A0A0S2Z6D3', 'B7Z3Z0', 'E9PK46', 'Q7Z5B4']	[-0.2068984941873612, -0.3005360758617214, 0.3564535246602518]	0
AGPAT4	0	unlabeled	['Q9NRZ5']	[-0.8081153086603544, -0.0218945716432803, 0.7831503305246652]	0
SKIC8	0	unlabeled	['H0YL19', 'Q9GZS3']	[-0.3857412688815588, -0.3699352587702812, 0.2038611083770725]	0
OTOP2	0	unlabeled	['Q7RTS6']	[-0.1030366267841586, -0.3038385561574543, 0.5738625041581995]	0
PLD5	0	unlabeled	['Q8N7P1']	[-0.8248548649401781, -0.3577216681594777, 0.965815694672826]	0
FAM151B	0	unlabeled	['Q6UXP7']	[-0.1097218309827281, -0.3774928722568266, 0.5415820466699472]	0
PRMT9	0	unlabeled	['Q6P2P2']	[-0.6591153446307735, -0.0911273644866371, 0.9053787880396108]	0
COIL	0	unlabeled	['P38432']	[-0.1754293440175063, -0.7556022621566272, 0.3145132055426582]	0
SSC4D	0	unlabeled	['Q8WTU2']	[-0.5111627816421087, -0.416360151285614, 0.5231317040479363]	0
CAPZA2	0	unlabeled	['A4D0V4', 'P47755', 'Q53GC7', 'Q53GE2']	[-0.5908988914126176, -0.792374909729027, 0.8636697500504956]	0
LRRC8D	0	unlabeled	['B3KRU1', 'Q7L1W4']	[-0.0088679189459548, -0.8240061679370885, 0.4607618984391267]	0
MTERF2	0	unlabeled	['Q49AM1']	[-0.0148721677286525, -0.3546201910323769, 0.5527070607790391]	0
MYL6	0	unlabeled	['G8JLA2', 'J3KND3', 'P60660']	[-0.5790344350421549, -0.4581374879352109, 0.7948273516653205]	0
IGFL2	0	unlabeled	['Q6UWQ7']	[-0.0888172567063389, -0.6224820478116242, 0.6440986621906768]	0
LIN7C	0	unlabeled	['Q53FX5', 'Q9NUP9']	[-0.0611126203593131, -0.3140810984828061, 0.5176856778905777]	0
HGFAC	0	unlabeled	['D6RAR4', 'Q04756']	[-0.2189116784041479, -0.2375567535652341, 0.581994762842565]	0
ZNF528	0	unlabeled	['Q3MIS6']	[-0.1694975264327588, -0.6253119801011715, 0.2990964753600759]	0
RMND5A	0	unlabeled	['Q9H871']	[-0.52580162287105, 0.0836429378453361, 0.6967760701304377]	0
FAM210A	0	unlabeled	['K7EK00', 'Q96ND0']	[-0.4515566470405786, -0.5178135187150538, 0.3820100494971756]	0
CCDC106	0	unlabeled	['K7EMI9', 'Q9BWC9']	[-0.3406941279129791, -0.311980439243769, 0.6023051218888817]	0
GPR82	0	unlabeled	['Q96P67']	[-0.3281000489658912, -0.7460330990323134, 0.6519830580995926]	0
NOX3	0	unlabeled	['Q9HBY0']	[-0.3772523004446697, -0.067173954178186, 0.412030262852681]	0
MPZ	0	unlabeled	['A0A0J9YWT2', 'A0A5F9ZI26', 'P25189', 'Q14902']	[-0.3277369597108807, -0.6892603115459581, 0.4269141641884929]	0
RPH3AL	0	unlabeled	['A8K7D5', 'Q9UNE2']	[-0.1540999014556816, -0.2626567259269051, 0.5142265425123864]	0
DFFB	0	unlabeled	['B4DZS0', 'O76075']	[-0.5714989645960121, -0.7650185826275746, 0.640027593492283]	0
HOOK2	0	unlabeled	['Q96ED9']	[-0.2987530797595865, -0.8163374019338879, 0.5759759672647179]	0
ATP2A2	0	unlabeled	['A0A0S2Z3L2', 'H7C5W9', 'P16615']	[-0.2373166761592788, -0.8775203810657356, 0.8385534927435436]	0
FNDC7	0	unlabeled	['Q5VTL7']	[-0.3551832383989776, -0.4215314713507914, 0.1527479070230664]	0
SLC2A5	0	unlabeled	['A0A140VJK5', 'B4DG19', 'B4DT82', 'B4DU31', 'B4DXM7', 'B4DXN5', 'P22732']	[-0.1776299702027751, -0.5821867032884952, 0.6254201028141578]	0
IGSF10	0	unlabeled	['Q6WRI0']	[-0.3153147684142495, -0.3432815421588781, 0.8840310258546388]	0
TMEM256	0	unlabeled	['Q8N2U0']	[-0.3058623167977223, -0.9861454515918854, 0.6275817936738901]	0
ACTMAP	0	unlabeled	['Q5BKX5']	[-0.6467353193917675, -0.3598698635208975, 0.7872460060707172]	0
NAP1L1	0	unlabeled	['B7Z2V4', 'F5H4R6', 'F8W543', 'H0YIV4', 'P55209']	[-0.2595256666118393, -0.6360182164551427, 0.3588828129084391]	0
MED12	0	unlabeled	['B4DYQ3', 'Q93074']	[-0.0405015069577653, -0.4224352926591916, 0.5693988129480911]	0
SECISBP2L	0	unlabeled	['Q93073']	[-0.2717972413485858, -0.6990552046603278, 1.0999066065160763]	0
OR5M3	0	unlabeled	['Q8NGP4']	[-0.1467622665296354, -0.310958994098847, 0.5848400874649282]	0
DEFB115	0	unlabeled	['Q30KQ5']	[-0.0355202900238704, -0.3964604673849697, 0.6671323663615578]	0
COLGALT1	0	unlabeled	['Q8NBJ5']	[-0.2608512534187345, -0.7368965146362348, 0.2904176962039005]	0
SNTB2	0	unlabeled	['Q13425']	[-0.6408510449831799, -0.1792164465112684, 0.2995762522461392]	0
RNASEK	0	unlabeled	['A0A0C4DH89']	[-0.2558284486006346, -0.7611331867201186, 0.5018020427117521]	0
ENTHD1	0	unlabeled	['Q8IYW4', 'Q8NA53']	[-0.1427323674172571, -0.5580227594625116, 0.8503908076792174]	0
CRY2	0	unlabeled	['A2I2P1', 'A8K5E5', 'Q49AN0']	[-0.2007733529009148, -0.370657196522654, 0.4842428182532637]	0
RNF121	0	unlabeled	['A0PJP0', 'C9JQY5', 'Q9H920']	[-0.333913013847487, -0.1670139515568325, 0.2168981564015071]	0
PARP16	0	unlabeled	['Q8N5Y8']	[-0.5692783256385712, -0.553523928745076, 0.6844310047310425]	0
SPINK2	0	unlabeled	['A0A087WTA9', 'D6RC51', 'D6RI10', 'P20155']	[-0.4609165408569682, -0.6224210506661347, 0.6616200634424483]	0
DRC9	0	unlabeled	['B9EG57', 'C9JKX8', 'Q9H095']	[-0.6078072334202694, -0.0146116325238082, 0.7013184098262587]	0
GPR88	0	unlabeled	['Q9GZN0']	[-0.5644377648532185, -0.1112461916495727, 0.2076217434959421]	0
C8orf76	0	unlabeled	['Q96K31']	[-0.3018747043291132, -0.1990290492267953, 0.3324953451931428]	0
RFPL1	0	unlabeled	['O75677', 'Q6NSX6']	[-0.2677983290389735, -0.5196741517569228, 0.9054537823797912]	0
STX6	0	unlabeled	['O43752']	[-0.0612810012722581, -0.5346962241933702, 0.4539829669050297]	0
FLOT2	0	unlabeled	['E7EMK3', 'J3QLD9', 'Q14254', 'Q6FG43', 'Q9BTI6']	[-0.3809851419059116, -0.504543868178075, 0.6349738011751876]	0
LRRCC1	0	unlabeled	['Q9C099']	[-0.4764358396727041, -0.898403551406399, 0.7073439619837407]	0
ZNF579	0	unlabeled	['Q8NAF0']	[-0.256503891816809, -0.43720451970437, 1.100315387341377]	0
ZNF718	0	unlabeled	['Q3SXZ3']	[-0.5103868178107248, -0.1189871011907729, 0.576299842883505]	0
EPHA1	0	unlabeled	['A8K2T6', 'P21709']	[-0.6618616723430556, -0.7391440714812405, 0.5157477003838873]	0
INHBC	0	unlabeled	['B2RBW9', 'P55103']	[-0.3388102227505006, -0.6874470874356915, 0.243420027067053]	0
MIF4GD	0	unlabeled	['A0A0S2Z5K9', 'A0A0S2Z5S7', 'A0A0S2Z5T5', 'A9UHW6', 'J3KSB8', 'J3QLJ5', 'J3QRZ6']	[-0.5649563978874119, -0.4668656523482561, 0.408183118618128]	0
CNDP1	0	unlabeled	['A8K1K1', 'Q96KN2']	[-0.0653990701855249, -0.4027920329629406, 0.670167711053716]	0
OR2A12	0	unlabeled	['Q8NGT7']	[-0.3102633714343622, -0.1736394827752237, 0.5821687004981108]	0
SCRN3	0	unlabeled	['Q0VDG4', 'Q0VDG5']	[-0.214446560052171, -0.9106166891456208, 1.146923089116373]	0
DNASE1L1	0	unlabeled	['P49184', 'Q5TZW2']	[-0.3260408653259843, -0.629641682959485, 0.7813786153834973]	0
ELAPOR2	0	unlabeled	['A8MWY0', 'B4E116', 'C9JA41']	[-0.3596774519142234, -0.7320146632834207, 0.466168380101436]	0
ALDH2	0	unlabeled	['A0A384NPN7', 'P05091', 'Q53FB6']	[-0.679867564923448, -0.5218040840826252, 0.8550971408418309]	0
CEP83	0	unlabeled	['F8VYN8', 'Q3B787', 'Q9Y592']	[-0.6404601665802688, -0.0983470786352667, 0.1947913416196982]	0
GTPBP6	0	unlabeled	['O43824']	[-0.0747236348847998, -0.3248831400575397, 0.6902487445805155]	0
CBX8	0	unlabeled	['Q9HC52']	[-0.4685459143697621, -0.1704314747270003, 0.1966957352825105]	0
OR1C1	0	unlabeled	['A0A126GV94', 'Q15619']	[-0.3862366102907844, -0.3287775349418495, 0.7679595749185499]	0
NR1I2	0	unlabeled	['F1D8P9', 'F1DAL3', 'H0Y8E2', 'J3KPQ3', 'O75469']	[-0.6794059486257293, -0.6101751864593559, 0.3769151613074714]	0
ANKMY1	0	unlabeled	['A0A0S2Z587', 'B5MBY4', 'B7Z432', 'J3KPY5', 'J3KQ07', 'J3KQ21', 'Q6GPI0', 'Q6ZV86', 'Q9P2S6']	[-0.1243157952811309, -0.1975574862502322, 0.6028812871272579]	0
ANKRD35	0	unlabeled	['B4DFX6', 'F6XZD3', 'Q8N283']	[-0.63638767841429, -1.0057431920959758, 0.9549015023303448]	0
SNAP47	0	unlabeled	['A0A087X0B7', 'A0A0K0K1I8', 'H7C3C7', 'Q5SQN1']	[-0.7837627523621745, -0.958304721655708, 0.9693623813873968]	0
ITGB3BP	0	unlabeled	['Q13352']	[-0.649713994864193, -0.8242274578218404, 0.6937503525134563]	0
SPEG	0	unlabeled	['B9ZVR7', 'Q15772']	[-0.1215833072705702, -0.5583355485937247, 0.7096278230004971]	0
UBE2M	0	unlabeled	['A0A024R4T4', 'P61081']	[-0.6671843301854559, 0.0492791869204022, 0.6603468698023509]	0
TIMP2	0	unlabeled	['A0A140VK57', 'P16035']	[-0.2624283605836195, -0.4753951167757827, 0.7028080976272724]	0
RCAN2	0	unlabeled	['Q14206', 'Q86YJ0']	[-0.1154574965977033, -0.2351602193714375, 0.586068872361836]	0
S100A5	0	unlabeled	['P33763']	[0.0514469328473451, -0.6985915591431087, 0.8716321399836567]	0
CUEDC2	0	unlabeled	['Q9H467']	[-0.3311864218134298, -0.7663964123300675, 0.5874283796288615]	0
H2BC18	0	unlabeled	['Q0D2M2', 'Q5QNW6']	[-0.3004908208956853, -0.2998646408235189, 0.6250513234521169]	0
CTSW	0	unlabeled	['A0A7P0T817', 'P56202']	[-1.0122145285041415, -0.6812597299623387, 0.7565324398851516]	0
OTOR	0	unlabeled	['Q9NRC9']	[-0.3048940944599743, -0.8888789696541772, 0.3814390071289657]	0
KLHL42	0	unlabeled	['B2RNT7', 'F5H523', 'Q9P2K6']	[0.0679610623064042, -1.274208161825206, 0.6145230417958926]	0
INSC	0	unlabeled	['A0A0A0MSI1', 'Q1MX18']	[-0.2806438100800643, -0.5338998314610922, 0.3111372035641749]	0
PANX2	0	unlabeled	['B3KTT7', 'Q6ICA1', 'Q96RD6']	[-0.1052002265559287, -0.5522028774143696, 0.348266705268791]	0
MAGI3	0	unlabeled	['Q5TCQ9']	[-0.3745239972072816, -0.8296281523556333, 0.3244496526432638]	0
OR8G5	0	unlabeled	['A0A126GVX5', 'A0A126GW95', 'Q8NG78']	[-1.178948621286307, -0.5249036632287389, 0.6963847664321241]	0
CLGN	0	unlabeled	['A0A140VKG2', 'A8K454', 'O14967']	[-0.4261193127730724, -0.3435111495361114, 1.0181332600606745]	0
PSORS1C2	0	unlabeled	['A0A1U9X9A6', 'Q5SQ83', 'Q9UIG4']	[-0.401114880861375, -0.6294818907263797, 0.7185023419934535]	0
FGA	0	unlabeled	['P02671']	[-0.2680400915143702, -0.3798449357460059, 0.3594320505710167]	0
CD200R1	0	unlabeled	['B7ZKV2', 'Q8TD46']	[-0.1501936261550778, -0.778101081858142, 0.3736994947451973]	0
ENOX2	0	unlabeled	['A0A8I5KRI1', 'A0AAQ5BI24', 'A0AAQ5BI25', 'A4QPE1', 'Q16206']	[-0.8377893503828886, -0.3102277971659106, 0.4277959871465703]	0
SOX18	0	unlabeled	['P35713']	[-0.126818721207801, -0.6359614698551777, 0.4231273752847171]	0
STRN4	0	unlabeled	['B4DMU7', 'F5GYK2', 'Q59GV6', 'Q9NRL3']	[-0.2929288308060609, -0.614370819492486, 0.5125595786963519]	0
PFKL	0	unlabeled	['P17858', 'Q7L2M7']	[-0.2708436672456395, -0.478288009985381, 0.3000540410524598]	0
SLC22A7	0	unlabeled	['A0A1Z4F6C0', 'Q9Y694']	[-0.229571710188859, -0.2621920846704078, 0.6729943350635554]	0
SRF	0	unlabeled	['B4DU24', 'P11831']	[-0.7158603581173315, -0.4118207133767966, 0.7014553794396943]	0
LHB	0	unlabeled	['A0A0F7RQE6', 'P01229', 'Q8WXL0']	[-0.2272973022835111, -0.4749519392918581, 0.3431511362586721]	0
PRR14L	0	unlabeled	['Q5THK1']	[0.0072075076946852, -0.9509969732807896, 0.8833175952679269]	0
BFSP2	0	unlabeled	['Q13515']	[-0.1894328280380509, -0.2684522022169568, 0.5928653504372505]	0
CHD9	0	unlabeled	['B7ZML1', 'H3BTW3', 'Q3L8U1', 'Q461N2']	[-0.3828264665078484, -0.2145226839716551, 0.7258614469120419]	0
RHBDD1	0	unlabeled	['Q8TEB9']	[-0.2770379946412216, -0.0467767293805103, 0.664864393503629]	0
CLDN10	0	unlabeled	['P78369']	[-0.1899398912380295, -0.4317070440850575, 0.6152473130982479]	0
RCCD1	0	unlabeled	['A6NED2', 'G3V2I3']	[-0.3181735389815064, -0.3031203896539191, 0.6022817801501936]	0
UBL4B	0	unlabeled	['Q8N7F7']	[-0.0719141941707817, -0.3073045823995642, 0.6624435215741651]	0
HRH3	0	unlabeled	['Q548M6', 'Q9Y5N1']	[-0.599801376896238, -0.2222439542771957, 0.8533913468610124]	0
GUF1	0	unlabeled	['Q8N442']	[-0.2558111373388169, -0.9646488448359732, 0.4992246439280478]	0
HNF1A	0	unlabeled	['A0A0A0MTK8', 'A0A2R3XWA6', 'A0A2R3XWC8', 'F5H0K0', 'P20823']	[-0.2098891281193585, -0.6763169218659826, 0.7198189549564111]	0
CCN1	0	unlabeled	['O00622', 'Q53FA4', 'Q6FI18']	[-0.3317328991622242, -0.4173280257132671, 0.923812035174068]	0
TEX30	0	unlabeled	['A0A0C4DFW4', 'B2RC94', 'Q5JUR7']	[-0.2523413987046408, -0.6339138686499877, 0.5940233335188886]	0
DCHS1	0	unlabeled	['Q96JQ0']	[0.0535174203292698, -1.050352523611771, 0.5051185045406384]	0
LGALS9B	0	unlabeled	['B3KWW5', 'Q3B8N2']	[0.7294532256155926, -0.8034937969398666, 0.3537641249330043]	1
GPR119	0	unlabeled	['Q8TDV5']	[0.042298587462628, -0.8216186453077102, 0.3355236614894962]	1
TLR4	0	unlabeled	['D1CS55', 'O00206']	[0.2034168448741428, -0.3244094086123256, 0.4482714097414321]	1
BTN3A1	0	unlabeled	['A8K547', 'B4DQ62', 'O00481']	[-0.1092092797330737, -0.6690328823681728, 0.102799470878322]	1
GIMAP4	0	unlabeled	['A0A090N7X0', 'B4DWA5', 'G5E9W9', 'Q9NUV9']	[0.2581823158491225, -0.8121074824160722, 0.5323993622186671]	1
AP1M2	0	unlabeled	['Q53GI5', 'Q9Y6Q5']	[0.1995032201676263, -0.5900651269956068, 0.5051666484499051]	1
GUCA2B	0	unlabeled	['Q16661']	[0.4715743502419949, -0.1180115839059948, -0.0440658169019155]	1
CCNY	0	unlabeled	['B2RBH6', 'B7Z8E4', 'Q8ND76']	[0.1022494470973723, -0.3791892429361083, 0.238840701772424]	1
PGPEP1	0	unlabeled	['Q9NXJ5', 'S4R2Y9', 'U3KQ24', 'U3KQG9']	[0.2962185875041823, -0.4172283668219603, 0.4648332807169879]	1
NPHP1	0	unlabeled	['A0A6Q8PGI7', 'A0A6Q8PHD4', 'B4DQY0', 'C9JNM7', 'O15259']	[-0.1145112164835988, -0.9992842682502632, 0.2947825779823457]	1
TTLL9	0	unlabeled	['A0A087X135', 'Q3SXZ7']	[0.0825856254054267, -0.3635291166575675, 0.2986004865115471]	1
PLCB3	0	unlabeled	['Q01970']	[-0.0492830515791245, -0.9842218181757494, 0.1801204217459248]	1
FXR2	0	unlabeled	['A0A994J7P9', 'P51116']	[0.1949728629262543, -0.1515116108767944, 0.306055964466383]	1
DNASE1L2	0	unlabeled	['H3BPU8', 'Q92874']	[0.2701381750747937, -0.3136088881700302, 0.3461280738180882]	1
PGAP3	0	unlabeled	['B4DVJ3', 'J3KTJ2', 'J3QKU0', 'Q96FM1']	[0.4629450551402269, -0.8786028957955433, 0.4324852343912691]	1
OTP	0	unlabeled	['Q5XKR4']	[-0.1504548602076097, -0.3663960324807641, 0.2938877691259858]	1
DRC11	0	unlabeled	['A0A0A0MSY6', 'B4DIF4', 'Q86XH1']	[0.5045966745898453, -0.2817879371510947, -0.0546570806864528]	1
ZNF512	0	unlabeled	['B4DES6', 'B7Z9P6', 'Q96ME7']	[0.4278263369573957, -0.5982915622166103, 0.0600680945374299]	1
PRDM11	0	unlabeled	['A0A087WWZ6', 'H3BSZ2', 'Q9NQV5']	[0.4601184782304238, -0.5485346726148376, 0.3085278129112324]	1
DNAJB13	0	unlabeled	['H0YFX2', 'P59910']	[0.3807026745345196, -0.9938356715717362, 0.0633451028793766]	1
CD53	0	unlabeled	['B4DQB5', 'P19397']	[0.1049358893643239, -0.4025715692634832, 0.3207648372695013]	1
KLF11	0	unlabeled	['B2RCZ6', 'B7ZAX4', 'O14901', 'Q53QU8']	[0.2143507790125472, -0.5247827234233307, 0.4810486452872298]	1
TOX2	0	unlabeled	['H6UKR8', 'Q96NM4']	[-0.1504943332200833, -0.8492744306444107, 0.2208044725997408]	1
CIITA	0	unlabeled	['A0A087X2I7', 'P33076', 'Q66X48']	[-0.1514911961553485, -0.5428501871467515, 0.2032776796056163]	1
ESPN	0	unlabeled	['B1AK53']	[0.4367328264801585, -0.3273987694037065, -0.1115928031281486]	1
INPP5D	0	unlabeled	['Q92835']	[0.6588385676034225, -0.3731171541966492, -0.1713249365646412]	1
SEC31B	0	unlabeled	['Q9NQW1']	[0.5860516399404453, -0.6602381793345347, 0.3307744692110724]	1
SMOC2	0	unlabeled	['Q9H3U7']	[0.4930152864360614, -0.5951603270835308, 0.3540468347748183]	1
SIM2	0	unlabeled	['H7BZX8', 'Q14190']	[-0.2638232577531866, -0.666475582245041, 0.1617286401520446]	1
PSRC1	0	unlabeled	['A8K0M8', 'Q6PGN9']	[0.6694479668586013, -0.8151219252619422, 0.140987506986441]	1
RFX3	0	unlabeled	['P48380']	[0.2219679103651032, -0.5004338652371721, -0.0690081436997497]	1
RGCC	0	unlabeled	['Q9H4X1']	[0.0644533837640812, -0.1576993451672817, 0.1328618275555871]	1
DENND2D	0	unlabeled	['B4DWL2', 'Q8TCN6', 'Q9H6A0']	[0.4095744303895249, -0.1620046613363035, -0.0224227582182141]	1
NR1D1	0	unlabeled	['F1D8S3', 'P20393']	[0.17092852432352, -0.3505421882026426, 0.3357582207230843]	1
LRIT2	0	unlabeled	['A6NDA9']	[-0.0247261716514334, -0.6460837495592262, 0.3977781505433373]	1
CDH15	0	unlabeled	['P55291']	[0.4858047268105753, -0.11012255726213, 0.0590639508168659]	1
SYNM	0	unlabeled	['A0A075B7B1', 'O15061']	[-0.0240363601087771, -0.4115975559285666, 0.2608982349568042]	1
SHFL	0	unlabeled	['Q9NUL5']	[-0.0809329390185936, -0.6578015412540611, 0.3457199205520649]	1
SLC45A1	0	unlabeled	['Q9Y2W3']	[0.3987487486327284, -0.190420115151559, -0.1048039090681645]	1
LRIG3	0	unlabeled	['C9K080', 'Q6UXM1']	[0.1855964008813313, -0.1027122293637878, -0.034655958324318]	1
CAND2	0	unlabeled	['A0A384MDT0', 'O75155']	[0.4801827690424123, -0.4376867774080284, 0.0679205735363614]	1
ZNF197	0	unlabeled	['O14709']	[0.2063514390325282, -0.9014251246044264, 0.4234963579104798]	1
XPO4	0	unlabeled	['Q0VG75', 'Q8IVQ8', 'Q9C0E2']	[0.2216769096046179, -0.2517865293126324, -0.3439958494259191]	1
MGAT3	0	unlabeled	['B2R969', 'Q09327']	[0.3420377247353893, -0.4113527267033733, 0.3087796893970392]	1
LRP10	0	unlabeled	['H0YHW7', 'Q7Z4F1']	[0.0340494720878175, -0.4419705019719689, -0.0787289076833974]	1
ANKRD37	0	unlabeled	['B4E066', 'Q7Z713']	[-0.0303379040543591, -0.2234050284784738, -0.1167106366647316]	1
CD81	0	unlabeled	['A6NMH8', 'E9PJK1', 'E9PRJ8', 'H0YDJ9', 'H0YEE2', 'P60033']	[0.2315475547388887, -0.2528213338541883, 0.3659035586334939]	1
IFFO2	0	unlabeled	['Q5TF58']	[0.8144463401790603, -0.6601606236364195, 0.015655154191463]	1
CC2D1A	0	unlabeled	['A0A7P0Z4M5', 'Q6P1N0']	[0.0518113459041368, -0.6893890550911295, 0.0924818663610316]	1
MRPS24	0	unlabeled	['Q96EL2']	[0.1997900988879157, -0.2177686224776722, 0.2779732290301783]	1
NDE1	0	unlabeled	['A0A6Q8PG46', 'A0A6Q8PGV6', 'I3L3G9', 'Q9NXR1', 'X5DP35', 'X5DR54']	[-0.0160170557201134, -0.442855710431024, 0.1271592195923166]	1
OCRL	0	unlabeled	['A0A2X0TVZ9', 'Q01968', 'Q504W7']	[0.5638510873453398, -0.32314241606641, 0.1716367918711249]	1
ZNF768	0	unlabeled	['H3BS42', 'Q9H5H4']	[0.1217193895870109, -0.9050359816344928, -0.1801443595147845]	1
HOXA6	0	unlabeled	['P31267']	[0.3386114734065183, -0.3987724508648823, 0.016318463371471]	1
FBXW9	0	unlabeled	['Q5XUX1']	[0.1052567606037675, -0.5205485571044315, 0.500780026985902]	1
SMCO1	0	unlabeled	['A8K657', 'Q147U7']	[0.1545263224199153, -0.4567986683268109, 0.290664408122177]	1
CMTM1	0	unlabeled	['E9PAX0', 'E9PIL3', 'Q8IZ96']	[0.0932262534279053, -0.5288436059831038, 0.3219771361866431]	1
ADNP2	0	unlabeled	['Q6IQ32']	[0.1171492257518931, -1.1487030764962745, -0.0544722370130698]	1
