Name	UniProt_IDs	dIntensity_cPathogen_eMean_oVoronoiCells_nZScore	dIntensity_cLatePathogen_eMean_oVoronoiCells_nZScore	eCount_oCells_nZScore
LRP12	Q59H02	-1.107449271227654	-0.6019473935205143	-0.0563253274341614
LRP12	Q9Y561	-1.107449271227654	-0.6019473935205143	-0.0563253274341614
LRP1B	Q9NZR2	-0.5109267043702188	-0.7784019416725138	1.0437013469916563
LRP2	P98164	0.23612080516689038	-0.1633371402000684	-0.027349799096472005
LRP2	Q4ZG84	0.23612080516689038	-0.1633371402000684	-0.027349799096472005
LRP2	Q7Z5C0	0.23612080516689038	-0.1633371402000684	-0.027349799096472005
LRP2BP	G5E9Z9	0.3136314525649843	-0.2760993322213549	0.6458117576383529
LRP2BP	Q9P2M1	0.3136314525649843	-0.2760993322213549	0.6458117576383529
LRP3	B7ZAJ9	0.19835918816070186	-0.45762182681128366	-0.2743716007822773
LRP3	O75074	0.19835918816070186	-0.45762182681128366	-0.2743716007822773
LRP4	O75096	-0.9713314978071184	-0.829318871260247	-0.13954226621896026
LRP5	O75197	-0.6078543510807414	0.08994573635571729	0.5010319196156635
LRP6	B7ZLD0	1.2253552203757507	0.1306710228623118	1.2665904614361236
LRP6	F5H7J9	1.2253552203757507	0.1306710228623118	1.2665904614361236
LRP6	H0YGW5	1.2253552203757507	0.1306710228623118	1.2665904614361236
LRP6	O75581	1.2253552203757507	0.1306710228623118	1.2665904614361236
LRP6	Q59EX8	1.2253552203757507	0.1306710228623118	1.2665904614361236
LRP8	A0A590UJ57	0.42222336018407153	0.12374296909698704	-0.253936501747229
LRP8	A0A590UJ98	0.42222336018407153	0.12374296909698704	-0.253936501747229
LRP8	A0A590UJF9	0.42222336018407153	0.12374296909698704	-0.253936501747229
LRP8	A0A590UK84	0.42222336018407153	0.12374296909698704	-0.253936501747229
LRP8	Q14114	0.42222336018407153	0.12374296909698704	-0.253936501747229
LRPAP1	B2R6S9	0.09073163899529005	-0.9127999710699812	-0.21779299416228176
LRPAP1	P30533	0.09073163899529005	-0.9127999710699812	-0.21779299416228176
LRPPRC	A0A804HJH8	-0.47709038912478896	-0.20026226651880344	0.588306704989169
LRPPRC	A0A804HL40	-0.47709038912478896	-0.20026226651880344	0.588306704989169
LRPPRC	E5KNY5	-0.47709038912478896	-0.20026226651880344	0.588306704989169
LRPPRC	P42704	-0.47709038912478896	-0.20026226651880344	0.588306704989169
LRR1	A0A384MTQ0	-0.3523077168282961	-0.21909189023217046	0.5242130790380619
LRR1	Q32Q17	-0.3523077168282961	-0.21909189023217046	0.5242130790380619
LRR1	Q96L50	-0.3523077168282961	-0.21909189023217046	0.5242130790380619
LRRC1	A8K883	0.17390624950641637	-0.45169907287633826	0.5124302186329805
LRRC1	Q9BTT6	0.17390624950641637	-0.45169907287633826	0.5124302186329805
LRRC10	Q3KP57	0.3102409587510535	-0.8900792536286446	0.5922288095291326
LRRC10	Q5BKY1	0.3102409587510535	-0.8900792536286446	0.5922288095291326
LRRC14	Q15048	0.7032186001082328	0.026424613093144006	0.4243913421602953
LRRC15	B3KWI4	0.7799069571268327	0.3971315532021348	0.7255719527104341
LRRC15	Q8TF66	0.7799069571268327	0.3971315532021348	0.7255719527104341
