"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","ERAD pathway","5","248","93","16251","5.33e-2","9.12e-1","3.52","1.00e+0","8.98e-1","1.39e-2","GO:0036503~ERAD pathway","UBE4B,AUP1,ERLIN2,UBE2G2,UBQLN2"
"GOTERM_BP_DIRECT","protein destabilization","4","248","56","16251","5.34e-2","9.12e-1","4.68","1.00e+0","8.98e-1","1.05e-2","GO:0031648~protein destabilization","PRKDC,FBXL3,VPS35,COMMD1"
"GOTERM_BP_DIRECT","regulation of proteasomal protein catabolic process","4","248","56","16251","5.34e-2","9.12e-1","4.68","1.00e+0","8.98e-1","1.05e-2","GO:0061136~regulation of proteasomal protein catabolic process","PSMD13,PSMC2,PSME1,DNAAF4"
"REACTOME_PATHWAY","Recycling pathway of L1","4","209","45","10908","5.40e-2","2.67e-1","4.64","1.00e+0","2.28e-1","1.06e-2","R-HSA-437239~Recycling pathway of L1","TUBA1C,TUBA1B,ACTB,TUBA4A"
"GOTERM_BP_DIRECT","negative regulation of intrinsic apoptotic signaling pathway","3","248","25","16251","5.49e-2","9.27e-1","7.86","1.00e+0","9.13e-1","6.30e-3","GO:2001243~negative regulation of intrinsic apoptotic signaling pathway","DDX3Y,URI1,AKT1"
"REACTOME_PATHWAY","Dengue Virus Infection","13","209","375","10908","5.54e-2","2.72e-1","1.81","1.00e+0","2.33e-1","2.84e-2","R-HSA-9839923~Dengue Virus Infection","DDX3Y,EIF4A1,CPSF1,DDX42,HDLBP,RRBP1,AUP1,ATG14,DHX16,POLR2F,RICTOR,KPNA3,HSPA1A"
"REACTOME_PATHWAY","HIV Infection","9","209","217","10908","5.59e-2","2.73e-1","2.16","1.00e+0","2.34e-1","2.38e-2","R-HSA-162906~HIV Infection","FEN1,CUL5,XRCC5,PSMD13,GTF2B,PSMC2,POLR2F,NELFA,RBX1"
"REACTOME_PATHWAY","Gap junction trafficking","4","209","46","10908","5.70e-2","2.77e-1","4.54","1.00e+0","2.37e-1","1.14e-2","R-HSA-190828~Gap junction trafficking","TUBA1C,TUBA1B,ACTB,TUBA4A"
"GOTERM_BP_DIRECT","regulation of centrosome duplication","3","248","26","16251","5.89e-2","9.39e-1","7.56","1.00e+0","9.25e-1","7.04e-3","GO:0010824~regulation of centrosome duplication","XRCC3,CUL1,RBX1"
"GOTERM_BP_DIRECT","DNA-templated transcription initiation","3","248","26","16251","5.89e-2","9.39e-1","7.56","1.00e+0","9.25e-1","7.04e-3","GO:0006352~DNA-templated transcription initiation","BRF2,GTF2B,RSF1"
"GOTERM_BP_DIRECT","regulation of double-strand break repair","3","248","26","16251","5.89e-2","9.39e-1","7.56","1.00e+0","9.25e-1","7.04e-3","GO:2000779~regulation of double-strand break repair","PPP4R2,MORF4L2,ACTB"
"REACTOME_PATHWAY","Signaling by WNT","11","209","298","10908","5.94e-2","2.85e-1","1.93","1.00e+0","2.44e-1","2.85e-2","R-HSA-195721~Signaling by WNT","VPS29,PPP2CB,PSMD13,PPP2R1A,PSMC2,CUL1,AKT1,VPS35,PDE6A,CSNK1G2,RBX1"
"GOTERM_BP_DIRECT","regulation of xenophagy","2","248","4","16251","5.94e-2","9.39e-1","32.76","1.00e+0","9.25e-1","1.36e-3","GO:1904415~regulation of xenophagy","CUL1,RBX1"
"GOTERM_BP_DIRECT","transcription preinitiation complex assembly","2","248","4","16251","5.94e-2","9.39e-1","32.76","1.00e+0","9.25e-1","1.36e-3","GO:0070897~transcription preinitiation complex assembly","BRF2,GTF2B"
"GOTERM_BP_DIRECT","establishment of meiotic spindle orientation","2","248","4","16251","5.94e-2","9.39e-1","32.76","1.00e+0","9.25e-1","1.36e-3","GO:0051296~establishment of meiotic spindle orientation","SKA1,SKA2"
"REACTOME_PATHWAY","Co-inhibition by CTLA4","3","209","21","10908","5.99e-2","2.85e-1","7.46","1.00e+0","2.44e-1","7.15e-3","R-HSA-389513~Co-inhibition by CTLA4","PPP2CB,PPP2R1A,AKT1"
"REACTOME_PATHWAY","GLI3 is processed to GLI3R by the proteasome","4","209","47","10908","6.01e-2","2.85e-1","4.44","1.00e+0","2.44e-1","1.23e-2","R-HSA-5610785~GLI3 is processed to GLI3R by the proteasome","PSMD13,PSMC2,CUL1,RBX1"
"REACTOME_PATHWAY","Degradation of GLI1 by the proteasome","4","209","47","10908","6.01e-2","2.85e-1","4.44","1.00e+0","2.44e-1","1.23e-2","R-HSA-5610780~Degradation of GLI1 by the proteasome","PSMD13,PSMC2,CUL1,RBX1"
"REACTOME_PATHWAY","Degradation of GLI2 by the proteasome","4","209","47","10908","6.01e-2","2.85e-1","4.44","1.00e+0","2.44e-1","1.23e-2","R-HSA-5610783~Degradation of GLI2 by the proteasome","PSMD13,PSMC2,CUL1,RBX1"
