"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Gene expression (Transcription)","36","184","1447","10908","1.54e-2","3.19e-1","1.47","1.00e+0","3.11e-1","1.00e-2","R-HSA-74160~Gene expression (Transcription)","BTG2,CDKN1B,MRE11,ELOF1,KMT2A,ELL,CUL1,EGFR,PAGR1,SUMO2,RICTOR,NRBF2,SKP2,BID,YWHAG,H2AZ1,RFC4,NCBP1,NCBP2,BDNF,TXNRD1,CPSF3,TSC2,TSC1,PAX5,TPX2,OCLN,AEBP2,PRKRA,IL2RA,TCEA1,POLR1E,STUB1,INTS7,RAD1,RAD9B"
"GOTERM_BP_DIRECT","nerve growth factor signaling pathway","3","243","13","16251","1.55e-2","1.00e+0","15.43","1.00e+0","1.00e+0","8.45e-4","GO:0038180~nerve growth factor signaling pathway","BDNF,RAPGEF1,SHOC2"
"GOTERM_BP_DIRECT","vesicle-mediated transport","11","243","303","16251","1.57e-2","1.00e+0","2.43","1.00e+0","1.00e+0","6.06e-3","GO:0016192~vesicle-mediated transport","ARFGEF1,GGA2,ARF3,SYT4,COPA,AP5Z1,GDI1,STBD1,TSC2,SEC23B,ARFGAP2"
"REACTOME_PATHWAY","Metabolism of proteins","47","184","2027","10908","1.62e-2","3.29e-1","1.37","1.00e+0","3.21e-1","1.13e-2","R-HSA-392499~Metabolism of proteins","EIF4A2,ARF3,BECN1,EIF4A1,COPA,RPN2,EPAS1,TIMM9,CUL2,NGLY1,CUL1,DERL2,UBE2L6,YARS1,TOMM20,CCT6B,GGA2,BABAM2,COMMD8,RHOT1,RAB40C,SUMO2,ASCC2,CCT7,SKP2,UBE2F,H2AZ1,PDIA3,DYNC1H1,UBE2H,COG5,LRRC49,FGG,COG3,NSMCE2,FN1,UBE2G1,COMMD1,TGFBR2,ARFGAP2,KTN1,CDC34,CAPZA1,VDAC3,PFDN2,RPL28,RIGI"
"GOTERM_BP_DIRECT","mitotic sister chromatid segregation","4","243","37","16251","1.75e-2","1.00e+0","7.23","1.00e+0","1.00e+0","2.19e-3","GO:0000070~mitotic sister chromatid segregation","MIS12,KIF2C,SKA1,SKA2"
"REACTOME_PATHWAY","Impaired BRCA2 binding to RAD51","4","184","33","10908","1.75e-2","3.49e-1","7.19","1.00e+0","3.40e-1","2.19e-3","R-HSA-9709570~Impaired BRCA2 binding to RAD51","RFC4,MRE11,RAD1,RAD9B"
"GOTERM_BP_DIRECT","autophagosome assembly","5","243","68","16251","1.86e-2","1.00e+0","4.92","1.00e+0","1.00e+0","3.48e-3","GO:0000045~autophagosome assembly","BECN1,AP5Z1,WIPI1,PIK3C3,ELAPOR1"
"GOTERM_BP_DIRECT","positive regulation of cold-induced thermogenesis","6","243","103","16251","1.89e-2","1.00e+0","3.90","1.00e+0","1.00e+0","4.50e-3","GO:0120162~positive regulation of cold-induced thermogenesis","DYNC1H1,EPAS1,STAT6,YBX2,APPL2,GADD45G"
"REACTOME_PATHWAY","Intra-Golgi and retrograde Golgi-to-ER traffic","9","184","199","10908","1.90e-2","3.70e-1","2.68","1.00e+0","3.61e-1","6.59e-3","R-HSA-6811442~Intra-Golgi and retrograde Golgi-to-ER traffic","ARF3,DYNC1H1,COPA,COG5,CAPZA1,COG3,KIF2C,BICD1,ARFGAP2"
"REACTOME_PATHWAY","Translation of Replicase and Assembly of the Replication Transcription Complex","3","184","13","10908","1.93e-2","3.70e-1","13.68","1.00e+0","3.61e-1","1.19e-3","R-HSA-9679504~Translation of Replicase and Assembly of the Replication Transcription Complex","BECN1,CHMP4C,PIK3C3"
