Name	unrefined_intensity	refined_intensity
ACSM5	0.0767212135929929	0.00024297608344900853
ACSM6	-1.458929015018863	-0.003606472525126629
ACSS1	-0.4757073219913454	-0.00286042812713396
ACSS2	-1.1965342130485124	-0.03145329485840625
ACSS3	-0.0710961132068592	-0.0002467746089410083
ACTA1	-0.3767727668789419	-0.035900416319293096
ACTA2	-0.5645607318838012	-0.11089327719954375
ACTB	-1.1241599451600723	-0.31464562369063326
ACTBL2	-0.2845280966802145	-0.061353931599541375
ACTC1	-0.2778813036971952	-0.05647048277473662
ACTG1	-0.7699256810893154	-0.2110312397068137
ACTG2	-0.813729952937585	-0.1330261315163776
ACTL10	-1.2274225508560943	-0.00532701387071545
ACTL6A	-1.2820031716891838	-0.24754840243732293
ACTL6B	0.2350268590421126	0.01588335016092501
ACTL7A	-0.2647807019768536	-0.019893503700924967
ACTL7B	-0.8782280180453124	-0.011457362723419146
ACTL8	-0.3980831997210454	-0.0017296715027879423
ACTL9	-0.2258358337566821	-0.0028570491328557854
ACTMAP	-0.3598698635208975	-0.0008608087135419868
ACTN1	-0.1238245956127653	-0.019525157534603283
ACTN2	-0.7343160358251941	-0.0651507216465187
ACTN3	-0.0968526980029669	-0.003427229571532987
ACTN4	-0.5405438811540287	-0.04408784003468489
ACTR10	-0.1270778573237466	-0.016674393970878085
ACTR1A	-0.6954067045570529	-0.07726663894333415
ACTR1B	0.0341369273352426	0.0032582331664395654
ACTR2	-0.989337215681202	-0.08058745224052799
ACTR3	-1.3320243493157762	-0.05025328262663628
ACTR3B	-0.7118061597047723	-0.06448038458917621
ACTR5	-0.8058121250428643	-0.02646609343490783
ACTR6	-0.0883710949166898	-0.011301160731231042
ACTRT1	0.8458013262473086	0.025186271892992357
ACTRT2	-0.5986816536669761	-0.010276969266847312
ACTRT3	-0.4870963937015122	-0.00577550194011883
ACVR1	-0.960124433814482	-0.039696344716059755
ACVR1B	-0.0615837601290607	-0.0030358946230823053
ACVR1C	-0.3554529927831064	-0.01510781855226037
ACVR2A	-1.0086348464799737	-0.054688181376144174
ACVR2B	-0.2705794280477361	-0.020180354902656253
ACVRL1	-0.0543426080303866	-0.0021995714026379278
ACY1	0.1327895570616343	0.0002667742201368233
ACY3	-0.8320240317850518	-0.0033422405356805527
ACYP1	0.0355012396325016	0.00014534207505546154
ACYP2	-0.7299386262595511	-0.0009036640193093242
ADA	-0.3427034560962498	-0.0015342833729429105
ADA2	0.777909350261462	0.00359160747015717
ADAD1	-0.7253067858912184	-0.006331202934044446
ADAD2	-0.6083903786775119	-0.0022516527914854716
ADAM10	-0.4371341835286467	-0.0104496926572523
ADAM11	0.9900308807696786	0.015619717205903218
ADAM12	0.4532809999385052	0.012317911173328878
ADAM15	-0.3965626382478735	-0.009444139229873107
ADAM17	0.3833163291038836	0.00952387751291509
ADAM18	-0.5334560645263872	-0.010264228137552216
ADAM19	-0.7777628245944324	-0.0210517063732975
ADAM2	-1.139358442944211	-0.02330899502575267
ADAM20	-0.2854795566122073	-0.00734224871650936
ADAM21	-1.3433793650587909	-0.01808994652988168
ADAM22	-0.9116887626570442	-0.021827652355534955
ADAM23	-0.5587113409851233	-0.015860138836544694
ADAM28	-0.6746824655867114	-0.02035989276401019
ADAM29	0.601830617445932	0.012649275917478598
ADAM30	-0.7873934439494746	-0.007744014521243083
ADAM32	-0.4184425249712192	-0.008570539796460512
ADAM33	-0.4024894870527808	-0.010460299279014722
ADAM7	-0.0803796922895589	-0.0021162365385995066
ADAM8	-0.3633582640237198	-0.010386959335382055
ADAM9	-0.7472533824078469	-0.019122214055816805
ADAMDEC1	0.2528259105646573	0.001995049260265711
ADAMTS1	-0.1592603499104916	-0.0042110029119833085
ADAMTS10	-0.8392683313917618	-0.01975889432595625
ADAMTS12	-0.3953780539982177	-0.014536074155244473
ADAMTS13	-0.7186354196857192	-0.013319907503874805
ADAMTS14	-0.4266468599190941	-0.010914906617310186
ADAMTS15	-0.7291920613560687	-0.012636898423300673
ADAMTS16	-0.4293136436114052	-0.005131156668443515
ADAMTS17	-0.5843098126136044	-0.014564506389206703
ADAMTS18	-0.2880841594298435	-0.007967255513191752
ADAMTS19	-0.8723362019234424	-0.012490982075341772
ADAMTS2	-0.4491894586218422	-0.014237059891019288
ADAMTS20	-0.4080622850235063	-0.007150475420466901
ADAMTS3	-0.3296726370552089	-0.009248306487309775
ADAMTS4	-0.1663248695149357	-0.0016998401664426429
ADAMTS5	0.2938348400897609	0.007411690006424129
ADAMTS6	-0.6188571222944098	-0.01491755093290675
ADAMTS7	1.201115138401855	0.03028972156021798
ADAMTS8	0.7251327163890604	0.00672198028092659
ADAMTS9	-0.3566341541651949	-0.010118780856129075
ADAMTSL1	-0.8475984498406035	-0.024582897840727026
ADAMTSL2	-0.4425891146873691	-0.010563274400243438
ADAMTSL3	0.1474701738596083	0.0029911375363944354
ADAMTSL4	-0.5192303051832761	-0.011649970357397165
ADAMTSL5	-0.5090567607818054	-0.008904929916356122
ADAP1	-0.8490596945864104	-0.0012693442434066836
ADAP2	-0.0339471365203111	-4.4776273070290344e-05
ADAR	0.0612458100568818	0.0018020354693036333
ADARB1	-0.2097455151003247	-0.007187139820427725
ADARB2	-0.704559603379487	-0.024762451820375446
ADAT1	-0.1588721566505437	-0.0006426378736514492
ADAT2	-0.4949797032625822	-0.02063718876812684
